id,dateLastActivity,dueComplete,due,animal_type,label_names
5a64ebf9b36b20b95eb4937d,2018-01-21,FALSE,2018-01-21,cat,ready to adopt
59c69bde1ab592e7c9c32755,2018-01-21,TRUE,2017-09-23,cat,ready to adopt
5a5906878fd94f9c99874e42,2018-01-21,FALSE,2018-01-12,cat,ready to adopt
5a63b329f81cd54496565eaa,2018-01-20,FALSE,2018-01-20,cat,ready to adopt
5a626f9175229094f8cb7b20,2018-01-20,FALSE,NA,cat,"vet, need info, questions"
5a6126c2f9e2a5035ecbc570,2018-01-20,FALSE,NA,cat,"red flag, ready for review"
59f4f20d28873f0f3eea03c3,2018-01-20,FALSE,NA,cat,"ready for review, ready to adopt"
5a5bf64415f2e36a33fd9c4a,2018-01-20,TRUE,2018-01-14,cat,"questions, red flag"
5a5d43161c9814c9b0c4d65b,2018-01-20,TRUE,2018-01-15,cat,"pet policy, not utd"
5a627f9d5bef53b8c52dbe9a,2018-01-20,FALSE,NA,cat,ready to adopt
5a5d2c73d271fc3a9a06eaee,2018-01-20,FALSE,2018-01-15,cat,ready for review
5a62734865e7a4e833e38025,2018-01-19,FALSE,2018-01-19,cat,ready for review
5a5e76808e426c54265ef103,2018-01-19,TRUE,2018-01-16,cat,denied
5a626961ff776094954f9c0a,2018-01-19,FALSE,NA,cat,ready to adopt
5a5e8f4eff12a3f0746445fa,2018-01-19,FALSE,2018-01-16,cat,"need info, vet"
5a2c75e782479e35b3d97bb3,2018-01-19,TRUE,2017-12-09,cat,ready for review
5a5efbfd1bbf52d4d15ab1f6,2018-01-19,FALSE,2018-01-16,cat,"need info, ready for review"
5a5efc04041cce119d0eee34,2018-01-19,TRUE,2018-01-16,cat,ready to adopt
5a60a09acc71bfceb210b2a4,2018-01-19,FALSE,NA,cat,ready to adopt
5a5e837397ab4f11c1c52ff3,2018-01-19,FALSE,2018-01-15,cat,ready to adopt
5a5d2bdbec5aef6aa1b5c017,2018-01-19,FALSE,2018-01-15,cat,ready to adopt
5a5b66a9434efc69dc8d6eec,2018-01-19,FALSE,2018-01-13,cat,"not utd, need to see id, declaw only"
