GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With an Internet subscription,Margin of Error; Total: - With an Internet subscription,Estimate; Total: - With an Internet subscription - Dial-up alone,Margin of Error; Total: - With an Internet subscription - Dial-up alone,"Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic, or DSL","Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic, or DSL",Estimate; Total: - With an Internet subscription - Satellite Internet service,Margin of Error; Total: - With an Internet subscription - Satellite Internet service,Estimate; Total: - With an Internet subscription - Other service,Margin of Error; Total: - With an Internet subscription - Other service,Estimate; Total: - Internet access without a subscription,Margin of Error; Total: - Internet access without a subscription,Estimate; Total: - No Internet access,Margin of Error; Total: - No Internet access
1400000US42091200301,42091200301,"Census Tract 2003.01, Montgomery County, Pennsylvania",2580,153,2194,211,27,32,2008,231,104,90,0,15,71,75,315,126
1400000US42091200305,42091200305,"Census Tract 2003.05, Montgomery County, Pennsylvania",811,55,684,55,0,10,657,54,0,10,6,9,24,19,103,36
1400000US42091200306,42091200306,"Census Tract 2003.06, Montgomery County, Pennsylvania",1327,75,1202,87,0,10,1135,91,71,37,0,10,10,15,115,40
1400000US42091200307,42091200307,"Census Tract 2003.07, Montgomery County, Pennsylvania",1341,105,1057,114,7,11,943,103,10,16,8,13,57,39,227,88
1400000US42091200308,42091200308,"Census Tract 2003.08, Montgomery County, Pennsylvania",1565,93,1412,98,0,10,1330,91,48,37,11,17,37,29,116,67
1400000US42091200309,42091200309,"Census Tract 2003.09, Montgomery County, Pennsylvania",959,35,887,48,0,10,849,48,0,10,9,11,10,10,62,33
1400000US42091200310,42091200310,"Census Tract 2003.10, Montgomery County, Pennsylvania",1060,82,812,92,7,11,782,93,23,21,0,10,55,54,193,68
1400000US42091200401,42091200401,"Census Tract 2004.01, Montgomery County, Pennsylvania",1393,73,1198,97,15,17,1101,90,50,40,30,35,39,29,156,59
1400000US42091200402,42091200402,"Census Tract 2004.02, Montgomery County, Pennsylvania",1612,72,1416,92,8,13,1308,97,39,28,41,46,57,42,139,57
1400000US42091200501,42091200501,"Census Tract 2005.01, Montgomery County, Pennsylvania",1300,54,1190,61,0,10,1136,67,0,10,31,43,9,14,101,43
1400000US42091200502,42091200502,"Census Tract 2005.02, Montgomery County, Pennsylvania",2338,120,2019,171,0,15,1941,164,21,32,0,15,28,24,291,130
1400000US42091200505,42091200505,"Census Tract 2005.05, Montgomery County, Pennsylvania",2529,67,2342,136,0,15,2196,145,18,28,0,15,39,42,148,110
1400000US42091200506,42091200506,"Census Tract 2005.06, Montgomery County, Pennsylvania",1544,41,1477,59,0,10,1378,81,19,21,10,16,0,10,67,42
1400000US42091200507,42091200507,"Census Tract 2005.07, Montgomery County, Pennsylvania",2170,62,2036,83,23,37,1963,98,0,15,21,31,14,22,120,69
1400000US42091200602,42091200602,"Census Tract 2006.02, Montgomery County, Pennsylvania",3120,146,2937,158,29,30,2753,184,66,55,76,77,106,66,77,53
1400000US42091200603,42091200603,"Census Tract 2006.03, Montgomery County, Pennsylvania",1197,67,1139,72,0,10,1107,73,35,32,40,54,22,19,36,37
1400000US42091200605,42091200605,"Census Tract 2006.05, Montgomery County, Pennsylvania",2404,122,1866,142,12,20,1815,143,57,40,0,15,137,94,401,127
1400000US42091200606,42091200606,"Census Tract 2006.06, Montgomery County, Pennsylvania",1207,62,1151,72,0,10,1127,75,27,24,28,30,9,14,47,44
1400000US42091200607,42091200607,"Census Tract 2006.07, Montgomery County, Pennsylvania",1573,60,1513,72,0,10,1450,84,8,14,21,33,27,33,33,20
1400000US42091200703,42091200703,"Census Tract 2007.03, Montgomery County, Pennsylvania",1595,78,1392,103,0,10,1332,110,14,17,95,77,47,49,156,97
1400000US42091200704,42091200704,"Census Tract 2007.04, Montgomery County, Pennsylvania",1394,87,1143,98,6,11,1101,97,47,43,57,60,50,34,201,92
1400000US42091200707,42091200707,"Census Tract 2007.07, Montgomery County, Pennsylvania",1752,95,1445,127,0,10,1321,135,39,38,109,81,23,27,284,94
1400000US42091200708,42091200708,"Census Tract 2007.08, Montgomery County, Pennsylvania",2067,100,1855,124,16,25,1728,137,34,32,72,70,14,22,198,90
