date_submitted,ideal_adoption_timeline,reason_for_adoption,specific_animal,adults_in_home,children_in_home,all_household_agree,allergies,home_owner,home_pet_policy,experience,budget_monthly,budget_emergency,home_alone_avg,home_alone_max,pet_kept,exercise,needs,return_pet,how_heard,outcome_trello_id,City,State,ZIP,animal_type
12/28/2018,one-month-or-more,"myself,my-kids",FALSE,0,4,yes,mildly-allergic,family-member-or-friend,NA,"pet-ran-away,currently-have-pet",260,500,6,7,inside-only,"toy-mice,wand-toys",scratching-post,"becomes-aggressive,allergies-appear",NA,NA,PHILADELPHIA,PA,19120,cat
12/28/2018,one-month-or-more,myself,FALSE,0,0,yes,no-allergies,myself,NA,"grew-up-with-pet,currently-have-pet",500,500,NA,NA,inside-only,"toy-mice,other-pets","nail-clip,scratching-post",becomes-aggressive,NA,NA,PHILADELPHIA,PA,19143,cat
12/27/2018,today,"gift,my-kids",TRUE,2,2,a-surprise,no-allergies,family-member-or-friend,NA,"pet-ran-away,pet-died-in-care,grew-up-with-pet,lived-wit-previous-housemates-pets",70,70,NA,NA,inside-only,wand-toys,"scratching-post,nail-clip",none,website,NA,PHILADELPHIA,PA,19150,cat
12/27/2018,one-month-or-more,"myself,my-kids",TRUE,2,1,yes,no-allergies,myself,NA,"pet-died-in-care,grew-up-with-pet,currently-have-pet,euthanized-a-pet,lived-wit-previous-housemates-pets",100,1e3,4,4,inside-only,"toy-mice,wand-toys","scratching-post,nail-clip",none,NA,5c259a0276cf8c5330c47e25,PHILADELPHIA,PA,19120,cat
12/27/2018,one-month-or-more,my-kids,TRUE,1,1,yes,mildly-allergic,myself,NA,currently-have-pet,40,150,5,8,inside-only,"toy-mice,wand-toys,other-pets",scratching-post,allergies-appear,other,NA,PHILADELPHIA,PA,19144,cat
12/27/2018,one-month-or-more,myself,FALSE,1,0,yes,no-allergies,company,yes,"euthanized-a-pet,grew-up-with-pet,currently-have-pet,lived-wit-previous-housemates-pets",100,1e3,5,5,inside-only,"other-pets,toy-mice,wand-toys","nail-clip,scratching-post",none,NA,NA,FOLSOM,PA,19033,cat
12/27/2018,one-month-or-more,my-kids,FALSE,4,5,yes,not-sure,myself,NA,grew-up-with-pet,200,200,0,0,inside-only,"toy-mice,wand-toys",scratching-post,none,NA,NA,PHILADELPHIA,PA,19150,cat
12/27/2018,one-month-or-more,myself,TRUE,4,1,yes,no-allergies,myself,NA,pet-died-in-care,150,200,NA,1,inside-only,toy-mice,"scratching-post,nail-clip",none,website,NA,PHILADELPHIA,PA,19143,cat
12/27/2018,today,myself,FALSE,0,0,yes,no-allergies,company,yes,"grew-up-with-pet,lived-wit-previous-housemates-pets",50,200,NA,NA,inside-only,not-much,scratching-post,none,NA,NA,PHILADELPHIA,PA,19130,cat
12/27/2018,one-month-or-more,myself,TRUE,2,0,yes,no-allergies,myself,NA,"euthanized-a-pet,grew-up-with-pet,lived-wit-previous-housemates-pets",250,1e3,8,NA,inside-only,"toy-mice,wand-toys","nail-clip,scratching-post",none,website,5830b6fd9b5eb5693b943550,PHILADELPHIA,PA,19144,cat
