"GEOID","tract_unemployment_pct","tract_commute_public_transit","tract_median_income","tract_mean_income","tract_poverty_pct"
42017105702,175,72,57328,69188,9
42017105704,391,130,74493,92391,4.6
42017105805,150,63,60385,69136,6
42017105808,90,29,70740,86983,3.3
42017105900,75,23,64250,74505,10.9
42017106000,296,26,80658,91584,2.2
42017106500,313,36,65438,79231,4.9
42017106600,71,8,79688,101981,3.7
42025020700,184,0,57788,70207,10
42029300108,212,520,112403,140112,6.2
42029300501,74,160,168261,209485,2.3
42029300600,119,83,89360,100004,7.9
42029300700,323,13,55399,68460,9.5
42029301000,216,15,97764,114904,3.6
42029301402,150,8,93393,125532,4.3
42029302202,39,72,91193,117734,4
42029302300,73,36,76146,87931,13.5
42029302702,121,72,70385,90395,8.7
42029302703,112,53,111544,142634,2.1
42029302804,43,40,104620,182372,2.7
42029302901,94,29,103681,130486,2.1
42029303801,198,69,95313,116984,4.7
42029304000,166,188,86983,137055,1.5
42029304502,89,30,134777,159482,1.3
42029304600,85,42,120598,143950,2.1
42029305300,364,112,70135,81888,8.9
42029305700,93,118,52764,58721,14.3
42029306000,206,79,91141,99614,3.3
42029311300,44,29,146875,192507,2.5
42029311403,94,23,96125,101910,4
42029311700,147,76,84800,109776,7
42029311800,154,19,63603,79806,8.2
42037051300,53,1,50714,61525,12.5
42045400301,317,891,32635,41217,24.2
42045400302,253,429,48314,49452,17.6
42045400402,102,821,35387,48021,23.1
42045400500,139,427,48750,56203,27.1
42045400600,324,264,51893,67672,5.7
42045400700,246,723,61463,79901,17.5
42045400801,113,322,34801,48560,14.6
42045400802,191,407,64250,82589,12.8
42045401401,94,174,63450,71039,11.7
42045401501,78,105,68917,75479,5.2
42045401502,50,351,53558,66996,10.2
42045401700,81,172,55701,72865,11.2
42045401800,130,377,60729,79313,12.5
42045401900,174,481,63197,83460,6.3
42045402100,258,459,57188,63583,12.5
42045402300,203,256,39859,51552,11.8
42045402400,202,315,33378,43426,36
42045402500,165,425,35077,67475,30.2
42045402600,122,360,44207,54545,16.9
42045402800,123,668,52740,62055,13.2
42045402900,187,228,31935,55742,23.2
42045403101,217,187,52303,58298,16.1
42045403103,120,110,46912,57851,14.7
42045403104,170,188,43456,50922,36.3
42045403200,195,355,65821,74144,3.6
42045403300,218,430,45726,61562,13.4
42045403402,140,55,51958,59290,15.2
42045403502,55,118,59609,70994,12.3
42045403601,207,173,69783,78836,8
42045403701,59,49,59239,75326,10.6
42045403902,75,131,93656,109145,3.9
42045404003,146,273,54236,67374,5.6
42045404004,188,292,72774,92433,7.9
42045404101,132,230,73668,88947,6.3
42045404400,197,47,40865,54722,28
42045405300,214,196,31152,44492,42.5
42045406202,111,102,65678,83096,5.5
42045406401,159,160,44000,51487,24.6
42045406700,284,41,57829,62052,8.5
42045407102,70,128,99205,109671,3.8
42045407401,26,268,132042,185029,2.4
42045407502,145,212,74958,90561,10.2
42045407700,85,108,61141,82078,7.9
42045407804,133,249,108690,116157,2.9
42045408001,71,116,97900,127781,6
42045408500,118,88,95809,119584,4.3
42045408700,82,279,117889,131927,3.1
42045408800,151,272,87813,103728,6.4
42045408900,106,326,106701,141348,2.9
42045409000,102,151,85172,115961,1.2
42045409100,157,195,101488,110945,4.6
42045409500,143,147,99413,110237,1.5
42045409601,73,337,125179,186785,5.2
42045409602,108,258,51480,75037,27.3
42045409802,124,277,134000,211954,14
42045409904,124,32,153393,239419,5.6
42045410200,112,51,123350,172910,2.4
42045410500,228,577,36003,48240,31.7
42045410601,167,174,83906,83125,6
42045410602,74,126,83047,92132,4
42045410800,316,265,96839,122986,5.2
42071000500,171,69,44911,57817,28.4
42071010701,134,41,60152,71746,10.5
42071010801,160,14,68981,85011,2.2
42071011100,159,56,75577,89831,5.9
42071011902,116,37,64886,87425,5.6
42077000500,161,102,30086,41252,31.3
42077005800,119,12,53056,60975,7.9
42077006002,128,79,89631,137958,3.2
42077006600,50,15,71947,79730,1
42079211205,51,17,71094,91987,3.5
42079215504,91,0,68110,78311,8.3
42087960700,56,5,32092,39102,19.1
42089300101,151,0,54552,67914,13
42089300402,329,103,48151,69262,12.2
42091200104,46,119,108971,118371,2.7
42091200200,36,46,105917,138158,5.3
42091200301,253,187,57206,79341,7.9
42091200306,93,40,72663,108939,2.5
42091200307,97,38,54365,64334,7.8
42091200401,124,92,67375,96012,4.2
42091200402,213,149,69954,79088,6.7
42091200502,94,80,61261,75058,4.2
42091200602,266,280,114611,128527,5.9
42091200704,66,52,81488,90848,3.5
42091200800,112,27,58672,71567,7.9
42091200903,125,108,60476,66136,12.4
42091201100,135,126,76803,94528,9.2
42091201203,93,39,81875,159384,4.3
42091201301,176,82,75792,95813,3.3
42091201406,114,172,118750,153479,1.5
42091201407,87,107,97581,110268,4.5
42091201410,45,51,105853,131483,6
42091201411,41,83,90278,120516,4.1
42091201501,88,150,74792,105769,5
42091201603,190,123,72266,86016,10.1
42091201605,73,122,84145,100431,1.7
42091201705,119,218,86232,109593,6.1
42091201706,191,302,82546,98512,9.2
42091201800,121,135,91250,141809,5.9
42091201901,84,211,100118,137278,3.8
42091201902,119,159,84982,110699,3.2
42091202000,91,149,60602,76629,5.5
42091202100,82,407,87361,107843,13.2
42091202201,248,333,84208,104128,4.6
42091202202,110,107,99597,119663,8
42091202301,164,322,104808,130759,5.1
42091202302,103,199,76083,99029,5.6
42091202401,125,500,41250,53605,16
42091202402,138,456,80476,111315,5.9
42091202500,175,441,79019,109951,10.5
42091202602,67,266,81071,120836,7.5
42091202603,44,266,92900,113162,4.4
42091202604,83,171,104688,121813,10.5
42091203000,55,115,126023,194937,1.2
42091203103,34,93,139762,165370,0.7
42091203104,32,137,118375,152034,2.1
42091203105,146,60,114113,140991,5.5
42091203207,117,87,117353,155205,1.7
42091203402,219,88,88978,100362,7.1
42091203500,155,192,62955,72494,5.7
42091203601,85,140,36658,49274,32.4
42091203801,229,202,46548,59590,21.2
42091203902,103,170,28409,48117,39.5
42091204007,67,43,62460,80502,8
42091204010,54,60,103527,124001,2.1
42091204101,115,145,85875,98770,5.3
42091204102,157,214,81601,97349,10.4
42091204400,98,187,135893,175662,9.8
42091204702,74,87,108167,168838,2.3
42091204800,100,59,197902,332171,2.4
42091204900,125,211,186042,281361,1.9
42091205000,52,124,93182,167370,10.6
42091205100,60,43,77639,146757,15
42091205400,134,806,126970,186919,3.6
42091205501,97,254,74231,98189,8.3
42091205502,77,257,160000,226445,2.7
42091205503,228,140,113966,151627,4.3
42091205600,104,385,101250,136753,2
42091205807,69,0,81016,93238,5.1
42091205905,92,214,81638,101799,11.3
42091206004,138,85,77182,105669,3.5
42091206102,183,101,127566,154298,3.8
42091206105,56,8,152212,172440,0.5
42091206106,177,19,92835,114594,3.1
42091206300,109,39,103828,122752,1.2
42091206400,106,11,74653,93214,5
42091206600,58,4,54211,64254,8.1
42091206703,136,19,101369,119933,3.3
42091206801,210,28,129917,182600,5.1
42091208601,128,13,91435,111711,3.4
42091208604,451,0,83357,96099,8.7
42091208702,133,0,94306,106828,3.5
42091208704,172,18,55933,73944,9.5
42091208903,38,151,56563,79870,29.9
42091208905,106,34,61838,79733,4.6
42091209100,252,8,92500,105313,3.1
42091210100,277,171,87629,94289,5.9
42091210300,96,305,103663,130509,6.2
42091210400,27,292,82095,110857,7.5
42091210500,120,338,90795,139240,5.9
42091210700,145,29,126845,150535,3.3
42095016001,144,12,78324,98129,5.2
42095017102,172,88,84773,112410,4.6
42097080300,171,0,42250,54060,17.5
42101000100,109,995,109738,124709,7
42101000200,124,298,30746,68689,37.6
42101000300,107,306,84135,123787,8.4
42101000401,92,335,59221,90674,18.5
42101000402,13,311,72866,97980,4.3
42101000500,101,238,42135,65644,34.8
42101000600,51,112,77500,104014,13.9
42101000700,61,572,51830,98796,18.6
42101000801,17,60,94821,123646,13.9
42101000803,49,228,56307,101121,10.7
42101000804,87,515,100914,150054,8.2
42101000901,44,241,42548,55344,24.3
42101000902,11,212,45288,113812,20
42101001001,17,296,99250,162071,5.9
42101001002,79,325,109020,171231,6.4
42101001101,132,553,72869,101863,18.5
42101001102,37,482,75000,102188,18
42101001201,73,309,103427,166865,3
42101001202,130,614,77150,126433,10.7
42101001300,123,634,103147,127564,7.6
42101001400,84,423,87656,111197,13.4
42101001500,61,429,62107,103624,13.9
42101001600,12,413,95300,140672,7.1
42101001700,53,292,103036,147609,2.3
42101001800,43,278,87222,121086,6.5
42101001900,149,465,83207,105985,11.2
42101002000,200,268,41335,54835,16.9
42101002100,149,422,51250,68244,23.7
42101002200,100,445,60216,74090,24.6
42101002300,94,472,53750,74524,7.5
42101002400,318,826,65660,91550,11.3
42101002500,228,388,61069,90507,14.7
42101002701,415,762,50208,59543,28
42101002702,165,465,66176,83858,11.9
42101002801,265,762,44926,57582,18.2
42101002802,180,1007,63523,74265,6
42101002900,156,674,52237,83265,17.6
42101003001,112,723,47768,62741,25.6
42101003002,72,737,32125,57824,18.2
42101003100,361,782,30638,45926,21.8
42101003200,401,852,25916,37303,36.2
42101003300,538,798,31124,40245,35.1
42101003600,611,742,18720,32886,45.1
42101003701,548,924,32574,43937,31.1
42101003702,351,622,35432,42239,21.1
42101003800,200,480,52647,69642,8.1
42101003901,212,1169,38301,64462,21.6
42101003902,116,798,57027,63725,11.5
42101004001,73,906,48880,65432,20.9
42101004002,266,1016,57039,70398,7.2
42101004101,437,948,29804,40087,40.4
42101004102,496,1205,37813,44200,33.7
42101004201,317,666,49024,66740,16.3
42101004202,272,591,45321,55714,15.1
42101005000,0,0,NA,NA,NA
42101005400,79,96,51098,66896,13.3
42101005500,279,929,52330,60767,17
42101005600,93,112,21354,34852,48.8
42101006000,366,676,38169,45790,34.9
42101006100,177,257,30345,42099,25
42101006200,226,783,28500,40001,38.2
42101006300,594,492,25287,35182,44.3
42101006400,250,571,29272,38398,30.5
42101006500,381,908,26870,37578,29.8
42101006600,180,439,17254,32274,41.5
42101006700,658,1117,33344,37752,32
42101006900,356,286,13979,22169,62.8
42101007000,202,591,28264,35717,24.3
42101007101,120,331,24889,31158,37.2
42101007102,352,717,31332,37863,34.7
42101007200,480,532,27487,36831,34.7
42101007300,221,420,28966,39183,29.1
42101007400,199,701,22273,44776,33.7
42101007700,79,202,28831,39818,45.5
42101007800,170,736,38289,59030,24.1
42101007900,162,1092,53700,87375,12.6
42101008000,458,724,40947,64874,26.5
42101008101,214,408,20100,32284,43.5
42101008102,373,777,30786,37581,34.7
42101008200,773,1113,40085,47640,22
42101008301,375,806,33026,41293,22
42101008302,251,1012,29332,39635,33.4
42101008400,257,559,38645,39749,27.8
42101008500,448,1336,30620,37282,36.1
42101008601,171,772,43542,67486,19.8
42101008602,68,707,45594,51980,18.4
42101008701,86,781,44225,52134,25.1
42101008702,25,301,32961,54218,33.4
42101008801,16,41,18125,53864,64
42101008802,109,434,21250,31618,64.2
42101009000,243,494,20217,38657,61
42101009100,118,400,18843,36502,50.8
42101009200,164,551,20893,33756,43.5
42101009300,300,723,26279,37354,28.6
42101009400,219,634,17149,31202,43.8
42101009500,74,690,21788,34464,38.1
